division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
welterweight,http://boxrec.com/boxer/4379,1996-07-17,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Welterweight"" border=""0"" class=""dLink"">International Boxing Organization World welterweight title</a><br></td>",http://boxrec.com/show/10016,http://boxrec.com/boxer/7109,TKO,"New York, New York",Kevin Lueshing,Nino Cirilo,W
super welterweight,http://boxrec.com/boxer/5020,1996-06-26,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Light%20Middleweight"" border=""0"" class=""dLink"">International Boxing Organization World super welterweight title</a><br></td>",http://boxrec.com/show/53740,http://boxrec.com/boxer/16157,UD,"Warner Center Marriott, Woodland Hills, California",Patrick Goossen,Greg Lonon,W
flyweight,http://boxrec.com/boxer/5677,1996-06-22,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Flyweight"" border=""0"" class=""dLink"">International Boxing Organization World flyweight title</a><br></td>",http://boxrec.com/show/27363,http://boxrec.com/boxer/7200,PTS,"Prince George, British Columbia",Scotty Olson,Rudy Idanio,D
heavyweight,http://boxrec.com/boxer/1094,1996-05-31,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Heavyweight"" border=""0"" class=""dLink"">International Boxing Organization World heavyweight title</a><br></td>",http://boxrec.com/show/7174,http://boxrec.com/boxer/4681,TKO,"K.B. Hallen, Copenhagen",Brian Nielsen,Mike Hunter,W
bantamweight,http://boxrec.com/boxer/7587,1996-05-31,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/EBU?division=Bantamweight"" border=""0"" class=""dLink"">vacant EBU (European) bantamweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Bantamweight"" border=""0"" class=""dLink"">International Boxing Organization World bantamweight title</a><br></td>",http://boxrec.com/show/7174,http://boxrec.com/boxer/1510,UD,"K.B. Hallen, Copenhagen",Johnny Bredahl,Alexander Yagupov,W
super bantamweight,http://boxrec.com/boxer/1987,1996-05-21,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Super%20Bantamweight"" border=""0"" class=""dLink"">vacant International Boxing Organization World super bantamweight title</a><br></td>",http://boxrec.com/show/108266,http://boxrec.com/boxer/18506,TKO,"Circus, Kiev",Sergey Devakov,Luis Antonio Guzman,W
super featherweight,http://boxrec.com/boxer/10174,1996-04-12,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Super%20Featherweight"" border=""0"" class=""dLink"">International Boxing Organization World super featherweight title</a><br></td>",http://boxrec.com/show/16260,http://boxrec.com/boxer/6435,TKO,"University of Hartford, West Hartford, Connecticut",Israel Cardona,Mike Cappiello,W
heavyweight,http://boxrec.com/boxer/5724,1996-03-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Heavyweight"" border=""0"" class=""dLink"">International Boxing Organization World heavyweight title</a><br></td>",http://boxrec.com/show/7040,http://boxrec.com/boxer/4681,TKO,"Brondby Hallen, Brondby",Brian Nielsen,Phil Jackson,W
super featherweight,http://boxrec.com/boxer/6424,1996-03-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Super%20Featherweight"" border=""0"" class=""dLink"">International Boxing Organization World super featherweight title</a><br></td>",http://boxrec.com/show/7040,http://boxrec.com/boxer/8257,PTS,"Brondby Hallen, Brondby",Jimmi Bredahl,Angel Aldama,W
bantamweight,http://boxrec.com/boxer/3727,1996-03-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Bantamweight"" border=""0"" class=""dLink"">International Boxing Organization World bantamweight title</a><br></td>",http://boxrec.com/show/7040,http://boxrec.com/boxer/1510,KO,"Brondby Hallen, Brondby",Johnny Bredahl,Rolando Pascua,W
lightweight,http://boxrec.com/boxer/19696,1996-03-07,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Lightweight"" border=""0"" class=""dLink"">vacant International Boxing Organization World lightweight title</a><br></td>",http://boxrec.com/show/18204,http://boxrec.com/boxer/1159,KO,"Convention Centre, Edmonton, Alberta",Tony Pep,Johar Abu Lashin,W
flyweight,http://boxrec.com/boxer/6228,1996-03-07,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Flyweight"" border=""0"" class=""dLink"">International Boxing Organization World flyweight title</a><br></td>",http://boxrec.com/show/18204,http://boxrec.com/boxer/7200,TD,"Convention Centre, Edmonton, Alberta",Scotty Olson,Jesus Zuniga,D
bantamweight,http://boxrec.com/boxer/13008,1996-02-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Bantamweight"" border=""0"" class=""dLink"">vacant International Boxing Organization World bantamweight title</a><br></td>",http://boxrec.com/show/6962,http://boxrec.com/boxer/1510,RTD,"Lillebæltshallen, Middelfart",Johnny Bredahl,Efrain Pintor,W
super lightweight,http://boxrec.com/boxer/4909,1996-01-18,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Light%20Welterweight"" border=""0"" class=""dLink"">International Boxing Organization World super lightweight title</a><br></td>",http://boxrec.com/show/19092,http://boxrec.com/boxer/4741,UD,"Cain's Ballroom, Tulsa, Oklahoma",Reggie Strickland,Verdell Smith,L 
heavyweight,http://boxrec.com/boxer/4681,1996-01-12,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Heavyweight"" border=""0"" class=""dLink"">vacant International Boxing Organization World heavyweight title</a><br></td>",http://boxrec.com/show/6912,http://boxrec.com/boxer/6632,TKO,"Falconer Centeret, Frederiksberg",Tony LaRosa,Brian Nielsen,L 
cruiserweight,http://boxrec.com/boxer/41037,1995-11-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Cruiserweight"" border=""0"" class=""dLink"">vacant International Boxing Organization World cruiserweight title</a><br></td>",http://boxrec.com/show/82127,http://boxrec.com/boxer/8275,KO,"Magic Millions Complex, Bundall, Gold Coast, Queensland",Ted Cofie,Joseph Polu,W
