division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
bantamweight,http://boxrec.com/boxer/1298,1989-06-24,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Bantamweight"" border=""0"" class=""dLink"">IBF World bantamweight title</a><br></td>",http://boxrec.com/show/444957,http://boxrec.com/boxer/507,TKO,"Harrah's Marina Hotel Casino, Atlantic City, New Jersey",Orlando Canizales,Kelvin Seabrooks,W
super featherweight,http://boxrec.com/boxer/1839,1989-06-18,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Super%20Featherweight"" border=""0"" class=""dLink"">IBF World super featherweight title</a><br></td>",http://boxrec.com/show/44593,http://boxrec.com/boxer/509,TKO,"Caesars Tahoe, Outdoor Arena, Stateline, Nevada",Tony Lopez,Tyrone Jackson,W
minimumweight,http://boxrec.com/boxer/34391,1989-06-17,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Minimumweight"" border=""0"" class=""dLink"">IBF World minimumweight title</a><br></td>",http://boxrec.com/show/1588,http://boxrec.com/boxer/5022,UD,Jakarta,Nico Thomas,Samuth Sithnaruepol,W
super bantamweight,http://boxrec.com/boxer/1954,1989-06-10,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Super%20Bantamweight"" border=""0"" class=""dLink"">IBF World super bantamweight title</a><br></td>",http://boxrec.com/show/1574,http://boxrec.com/boxer/3260,TKO,"Palazzo Dello Sport, Frosinone, Lazio",Fabrice Benichou,Fransie Badenhorst,W
flyweight,http://boxrec.com/boxer/12246,1989-06-07,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Flyweight"" border=""0"" class=""dLink"">IBF World flyweight title</a><br></td>",http://boxrec.com/show/30401,http://boxrec.com/boxer/8549,UD,"Wembley Arena, Wembley, London",Duke McKenzie,Dave McAuley,L 
cruiserweight,http://boxrec.com/boxer/18396,1989-06-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Cruiserweight"" border=""0"" class=""dLink"">vacant IBF World cruiserweight title</a><br></td>",http://boxrec.com/show/61484,http://boxrec.com/boxer/4165,UD,"Louisa Centre, Stanley, County Durham",Glenn McCrory,Patrick Lumumba,W
featherweight,http://boxrec.com/boxer/541,1989-05-21,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Featherweight"" border=""0"" class=""dLink"">IBF World featherweight title</a><br></td>",http://boxrec.com/show/1540,http://boxrec.com/boxer/468,PTS,"Veteran's Memorial Coliseum, Phoenix, Arizona",Jorge Paez,Louie Espinoza,D
light flyweight,http://boxrec.com/boxer/5445,1989-05-02,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Flyweight"" border=""0"" class=""dLink"">IBF World light flyweight title</a><br></td>",http://boxrec.com/show/13166,http://boxrec.com/boxer/4208,SD,"Lumpinee Boxing Stadium, Bangkok",Muangchai Kittikasem,Tacy Macalos,W
lightweight,http://boxrec.com/boxer/1743,1989-04-30,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Lightweight"" border=""0"" class=""dLink"">IBF World lightweight title</a><br></td>",http://boxrec.com/show/1503,http://boxrec.com/boxer/555,TKO,"Scope Arena, Norfolk, Virginia",Pernell Whitaker,Louie Lomeli,W
welterweight,http://boxrec.com/boxer/3897,1989-04-27,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Welterweight"" border=""0"" class=""dLink"">IBF World welterweight title</a><br></td>",http://boxrec.com/show/1495,http://boxrec.com/boxer/982,KO,"DC Armory, Washington, District of Columbia",Simon Brown,Al Long,W
featherweight,http://boxrec.com/boxer/578,1989-03-30,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Featherweight"" border=""0"" class=""dLink"">IBF World featherweight title</a><br></td>",http://boxrec.com/show/1454,http://boxrec.com/boxer/468,TKO,"Plaza de Toros Calafia, Mexicali, Baja California",Jorge Paez,Calvin Grove,W
middleweight,http://boxrec.com/boxer/1012,1989-03-25,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Middleweight"" border=""0"" class=""dLink"">IBF World middleweight title</a><br><span style=""font-size:10px;"">Kalambay stripped of WBA belt before bout <br> <b>1989 Knockout of the Year - Ring Magazine</b></span></td>",http://boxrec.com/show/1445,http://boxrec.com/boxer/462,KO,"Hilton Hotel, Las Vegas, Nevada",Michael Nunn,Sumbu Kalambay,W
minimumweight,http://boxrec.com/boxer/34391,1989-03-24,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Minimumweight"" border=""0"" class=""dLink"">IBF World minimumweight title</a><br></td>",http://boxrec.com/show/47381,http://boxrec.com/boxer/5022,PTS,"Bung Karno Stadium, Jakarta",Nico Thomas,Samuth Sithnaruepol,D
super bantamweight,http://boxrec.com/boxer/3791,1989-03-10,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Super%20Bantamweight"" border=""0"" class=""dLink"">IBF World super bantamweight title</a><br></td>",http://boxrec.com/show/66226,http://boxrec.com/boxer/3260,SD,"Palais des Sports Beaublanc, Limoges, Haute-Vienne",Fabrice Benichou,Jose Sanabria,W
flyweight,http://boxrec.com/boxer/8633,1989-03-08,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Flyweight"" border=""0"" class=""dLink"">IBF World flyweight title</a><br><span style=""font-size:10px;"">De Luca halted with cut over and swelling under right eye</span></td>",http://boxrec.com/show/20540,http://boxrec.com/boxer/8549,TKO,"Royal Albert Hall, Kensington, London",Duke McKenzie,Tony DeLuca,W
super featherweight,http://boxrec.com/boxer/1311,1989-03-05,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Super%20Featherweight"" border=""0"" class=""dLink"">IBF World super featherweight title</a><br></td>",http://boxrec.com/show/1416,http://boxrec.com/boxer/509,UD,"Arco Arena, Sacramento, California",Tony Lopez,Rocky Lockridge,W
heavyweight,http://boxrec.com/boxer/505,1989-02-25,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br><a href=""http://boxrec.com/title/WBA?division=Heavyweight"" border=""0"" class=""dLink"">WBA World heavyweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Heavyweight"" border=""0"" class=""dLink"">IBF World heavyweight title</a><br><span style=""font-size:10px;"">Bruno penalized one point in the 1st for holding and he was also dropped in the 1st.</span></td>",http://boxrec.com/show/1406,http://boxrec.com/boxer/474,TKO,"Las Vegas Hilton, Hilton Center, Las Vegas, Nevada",Mike Tyson,Frank Bruno,W
super flyweight,http://boxrec.com/boxer/3109,1989-02-25,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Super%20Flyweight"" border=""0"" class=""dLink"">IBF World super flyweight title</a><br><span style=""font-size:10px;"">The first world boxing title bout held in Singapore.</span></td>",http://boxrec.com/show/184655,http://boxrec.com/boxer/10945,SD,"National Stadium, Singapore",Elly Pical,Mike Phelps,W
lightweight,http://boxrec.com/boxer/559,1989-02-18,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Lightweight"" border=""0"" class=""dLink"">IBF World lightweight title</a><br><span style=""font-size:10px;"">Haugen was down in the 6th.</span></td>",http://boxrec.com/show/1395,http://boxrec.com/boxer/555,UD,"The Coliseum, Hampton, Virginia",Pernell Whitaker,Greg Haugen,W
welterweight,http://boxrec.com/boxer/1607,1989-02-18,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Welterweight"" border=""0"" class=""dLink"">IBF World welterweight title</a><br><span style=""font-size:10px;"">According to Teddy Atlas (Brown's trainer) on 4/6/2013 this was the first Championship fight behind the Iron Curtain and was organized by Don Elbaum.</span></td>",http://boxrec.com/show/1393,http://boxrec.com/boxer/982,TKO,"Sportcsarnok Hall, Budapest",Simon Brown,Jorge Maysonet,W
super welterweight,http://boxrec.com/boxer/1185,1989-02-05,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Middleweight"" border=""0"" class=""dLink"">IBF World super welterweight title</a><br></td>",http://boxrec.com/show/1374,http://boxrec.com/boxer/8600,UD,"Trump Castle, Atlantic City, New Jersey",Darrin Van Horn,Robert Hines,W
super middleweight,http://boxrec.com/boxer/621,1989-01-27,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Super%20Middleweight"" border=""0"" class=""dLink"">IBF World super middleweight title</a><br><span style=""font-size:10px;"">Rocchigiani vacates his IBF Super Middleweight Title to step up to the Light Heavyweight Division</span></td>",http://boxrec.com/show/1361,http://boxrec.com/boxer/476,UD,"Deutschlandhalle, Charlottenburg, Berlin",Thulani Malinga,Graciano Rocchigiani,L 
super lightweight,http://boxrec.com/boxer/1550,1989-01-21,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Welterweight"" border=""0"" class=""dLink"">IBF World super lightweight title</a><br></td>",http://boxrec.com/show/1352,http://boxrec.com/boxer/553,RTD,"Trump Plaza Hotel, Atlantic City, New Jersey",Meldrick Taylor,John Wesley Meekins,W
bantamweight,http://boxrec.com/boxer/6905,1988-11-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Bantamweight"" border=""0"" class=""dLink"">IBF World bantamweight title</a><br><span style=""font-size:10px;"">Navarro down twice</span></td>",http://boxrec.com/show/1296,http://boxrec.com/boxer/507,KO,"Freeman Coliseum, San Antonio, Texas",Orlando Canizales,Jimmy Navarro,W
super bantamweight,http://boxrec.com/boxer/4418,1988-11-11,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Super%20Bantamweight"" border=""0"" class=""dLink"">IBF World super bantamweight title</a><br></td>",http://boxrec.com/show/66225,http://boxrec.com/boxer/3791,TKO,"La Salle du Sportica, Gravelines, Nord",Jose Sanabria,Thierry Jacob,W
light flyweight,http://boxrec.com/boxer/21999,1988-11-05,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Flyweight"" border=""0"" class=""dLink"">IBF World light flyweight title</a><br><span style=""font-size:10px;"">Choi down once in Round 9.</span></td>",http://boxrec.com/show/186835,http://boxrec.com/boxer/5445,UD,"Araneta Coliseum, Barangay Cubao, Quezon City, Metro Manila",Tacy Macalos,Jum-Hwan Choi,W
middleweight,http://boxrec.com/boxer/1019,1988-11-04,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Middleweight"" border=""0"" class=""dLink"">IBF World middleweight title</a><br></td>",http://boxrec.com/show/1260,http://boxrec.com/boxer/462,KO,"Las Vegas Hilton, Hilton Center, Las Vegas, Nevada",Michael Nunn,Juan Domingo Roldan,W
super welterweight,http://boxrec.com/boxer/1185,1988-11-04,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Middleweight"" border=""0"" class=""dLink"">IBF World super welterweight title</a><br></td>",http://boxrec.com/show/1260,http://boxrec.com/boxer/9739,UD,"Las Vegas Hilton, Hilton Center, Las Vegas, Nevada",Matthew Hilton,Robert Hines,L 
lightweight,http://boxrec.com/boxer/8738,1988-10-28,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Lightweight"" border=""0"" class=""dLink"">IBF World lightweight title</a><br></td>",http://boxrec.com/show/9795,http://boxrec.com/boxer/559,TKO,"Brondby Hallen, Brondby",Greg Haugen,Gert Bo Jacobsen,W
