boxerid,boxername,alias,birth name,birth place,born,bouts,date.of.death,age.of.death,debut,division,global ID,height.imp,height.cm,KOs,manager/agent,promoter,ranking,reach.in,reach.cm,residence,role,rounds,stance,titles held,US ID,VADA CBP,KO.percent,boxerid.num
http://boxrec.com/boxer/4745,Raul Marquez,El Diamante,NA,"Valle Hermoso, Tamaulipas, Mexico",1971-08-28,47,NA,NA,1992-10-03,super welterweight,4745,5.875,179,62%,NA,NA,NA,74,188,"Houston, Texas, USA",Boxer,275,southpaw,NA,036141,NA,0.62,4745
http://boxrec.com/boxer/4748,Jon Penalosa,NA,Jonathan Penalosa,NA,NA,20,NA,NA,1985-11-30,super flyweight,4748,NA,NA,35%,NA,NA,NA,NA,NA,NA,Boxer,116,southpaw,NA,NA,NA,0.35,4748
http://boxrec.com/boxer/47486,Nessim Max Cohen,Max Cohen,NA,"Rabat, Morocco",1942-01-12,53,NA,NA,1963-12-09,middleweight,47486,5.833333333333333,178,38%,NA,NA,NA,NA,NA,"Paris, Paris, France",Boxer,376,orthodox,NA,NA,NA,0.38,47486
http://boxrec.com/boxer/4754,Guty Espadas Jr,NA,Gustavo Espinosa Espadas Jr.,"Merida, Yucatán, Mexico",1974-09-02,53,NA,NA,1992-10-08,featherweight,4754,5.75,175,53%,NA,NA,NA,67,170,"Merida, Yucatán, Mexico",Boxer,339,orthodox,NA,036570,NA,0.53,4754
http://boxrec.com/boxer/47545,Carlos Mercado,NA,Carlos Manuel Mercado,"Sincelejo, Colombia",1967-03-02,28,NA,NA,1988-04-23,super flyweight,47545,NA,NA,64%,NA,NA,NA,NA,NA,"Sincelejo, Colombia",Boxer,126,orthodox,NA,NA,NA,0.64,47545
http://boxrec.com/boxer/4757,Patrice Aouissi,NA,NA,"Pont-l'Évêque, Calvados, France",1966-02-24,30,NA,NA,1990-04-29,cruiserweight,4757,6.291666666666667,192,57%,NA,NA,NA,NA,NA,"Vienne, Isère, France",Boxer,147,orthodox,NA,NA,NA,0.57,4757
http://boxrec.com/boxer/475912,Charles Hatley,The Future,NA,"Dallas, Texas, USA",1986-01-26,29,NA,NA,2008-11-06,super welterweight,475912,5.833333333333333,178,62%,NA,NA,"16 / 1,8059 / 322",NA,NA,"Dallas, Texas, USA",Boxer,128,southpaw,NA,077337,enrolled,0.62,475912
http://boxrec.com/boxer/476,Thulani Malinga,Sugar Boy,NA,"Ladysmith, KwaZulu-Natal, South Africa",1955-12-11,57,NA,NA,1981-08-08,super middleweight,476,5.791666666666667,176,33%,NA,NA,NA,NA,NA,"Ladysmith, KwaZulu-Natal, South Africa",Boxer,495,orthodox,NA,NA,NA,0.33,476
http://boxrec.com/boxer/4763,Jeremy Williams,"Half-Man, Half-Amazing",Jeremy Allen Williams,"Fort Dodge, Iowa, USA",1972-08-19,49,NA,NA,1992-10-14,heavyweight,4763,6.083333333333333,185,71%,NA,NA,NA,75,191,"Long Beach, California, USA",Boxer,219,orthodox,NA,036191,NA,0.71,4763
http://boxrec.com/boxer/4765,Craig Cummings,NA,NA,"Chillicothe, Missouri, USA",1967-07-07,61,NA,NA,1989-06-29,super middleweight,4765,NA,NA,70%,NA,NA,NA,NA,NA,"Kansas City, Missouri, USA",Boxer  Promoter  Matchmaker  ,199,orthodox,NA,021155,NA,0.7,4765
