division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
super flyweight,http://boxrec.com/boxer/3868,1998-12-23,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Flyweight"" border=""0"" class=""dLink"">WBA World super flyweight title</a><br></td>",http://boxrec.com/show/8556,http://boxrec.com/boxer/528,UD,"Aichi Prefectural Gym, Nagoya, Aichi",Jesus Rojas,Satoshi Iida,W
super bantamweight,http://boxrec.com/boxer/3719,1998-12-12,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Bantamweight"" border=""0"" class=""dLink"">WBA World super bantamweight title</a><br></td>",http://boxrec.com/show/8538,http://boxrec.com/boxer/5584,UD,"Fantasy Springs Casino, Indio, California",Nestor Garza,Enrique Sanchez,W
bantamweight,http://boxrec.com/boxer/470,1998-12-05,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Bantamweight"" border=""0"" class=""dLink"">WBA World bantamweight title</a><br></td>",http://boxrec.com/show/8521,http://boxrec.com/boxer/1160,MD,"Convention Center, Atlantic City, New Jersey",Johnny Tapia,Nana Yaw Konadu,W
welterweight,http://boxrec.com/boxer/8361,1998-12-05,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Welterweight"" border=""0"" class=""dLink"">WBA World welterweight title</a><br><span style=""font-size:10px;"">~ Page knocked down in rounds 3 and 9 ~</span></td>",http://boxrec.com/show/8521,http://boxrec.com/boxer/3728,UD,"Convention Center, Atlantic City, New Jersey",James Page,Jose Luis Lopez,W
light heavyweight,http://boxrec.com/boxer/7665,1998-12-05,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Light%20Heavyweight"" border=""0"" class=""dLink"">interim WBA World light heavyweight title</a><br></td>",http://boxrec.com/show/8521,http://boxrec.com/boxer/5174,TKO,"Convention Center, Atlantic City, New Jersey",Richard Hall,Anthony Bigeni,W
super welterweight,http://boxrec.com/boxer/532,1998-11-30,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Light%20Middleweight"" border=""0"" class=""dLink"">WBA World super welterweight title</a><br></td>",http://boxrec.com/show/8520,http://boxrec.com/boxer/1713,TKO,"Palais des Sports, Paris, Paris",Laurent Boudouani,Terry Norris,W
light heavyweight,http://boxrec.com/boxer/1496,1998-11-14,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBC World light heavyweight title</a><br><a href=""http://boxrec.com/title/WBA?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBA World light heavyweight title</a><br><span style=""font-size:10px;"">Grant down in the 6th and 10th rounds.<br>
Corner throws in the towel.</span></td>",http://boxrec.com/show/8502,http://boxrec.com/boxer/774820,TKO,"Foxwoods Resort, Mashantucket, Connecticut",Roy Jones Jr,Otis Grant,W
cruiserweight,http://boxrec.com/boxer/7761,1998-11-14,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Cruiserweight"" border=""0"" class=""dLink"">WBA World cruiserweight title</a><br></td>",http://boxrec.com/show/8503,http://boxrec.com/boxer/1689,TKO,"L'Espace Francois Mitterand, Mont-de-Marsan, Landes",Fabrice Tiozzo,Ezequiel Paixao,W
minimumweight,http://boxrec.com/boxer/4873,1998-11-13,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Minimumweight"" border=""0"" class=""dLink"">WBA World minimumweight title</a><br></td>",http://boxrec.com/show/8499,http://boxrec.com/boxer/521,SD,"Hilton Hotel, Las Vegas, Nevada",Ricardo Lopez,Rosendo Alvarez,W
light flyweight,http://boxrec.com/boxer/5229,1998-10-17,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Light%20Flyweight"" border=""0"" class=""dLink"">WBA World light flyweight title</a><br><span style=""font-size:10px;"">Cut.</span></td>",http://boxrec.com/show/9657,http://boxrec.com/boxer/8563,TKO,Bangkok,Pichit Chor Siriwat,Tae-Kil Lee,W
