division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
flyweight,http://boxrec.com/boxer/10055,1980-10-18,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Flyweight"" border=""0"" class=""dLink"">WBC World flyweight title</a><br></td>",http://boxrec.com/show/73780,http://boxrec.com/boxer/10047,SD,"Miyagi Prefectural Gymnasium, Sendai, Miyagi",Shoji Oguma,Chan-Hee Park,W
heavyweight,http://boxrec.com/boxer/180,1980-10-02,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br></td>",http://boxrec.com/show/1963,http://boxrec.com/boxer/150,RTD,"Caesars Palace, Las Vegas, Nevada",Larry Holmes,Muhammad Ali,W
super lightweight,http://boxrec.com/boxer/18330,1980-10-02,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBC World super lightweight title</a><br></td>",http://boxrec.com/show/1963,http://boxrec.com/boxer/235,UD,"Caesars Palace, Las Vegas, Nevada",Saoul Mamby,Maurice Watkins,W
middleweight,http://boxrec.com/boxer/11467,1980-09-27,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Middleweight"" border=""0"" class=""dLink"">WBC World middleweight title</a><br><a href=""http://boxrec.com/title/WBA?division=Middleweight"" border=""0"" class=""dLink"">WBA World middleweight title</a><br><span style=""font-size:10px;"">Riot ensues after Minter stopped with facial damage and cuts around eyes</span></td>",http://boxrec.com/show/26116,http://boxrec.com/boxer/8684,TKO,"Wembley Arena, Wembley, London",Marvin Hagler,Alan Minter,W
bantamweight,http://boxrec.com/boxer/2234,1980-09-19,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Bantamweight"" border=""0"" class=""dLink"">WBC World bantamweight title</a><br><span style=""font-size:10px;"">Owen down twice in Round 12. Owen remained unconscious following the second knockdown. He was removed from the ring on a stretcher and later underwent surgery to remove a blood clot from his brain. Owen died almost 2 months later.</span></td>",http://boxrec.com/show/1960,http://boxrec.com/boxer/166,KO,"Olympic Auditorium, Los Angeles, California",Lupe Pintor,Johnny Owen,W
light flyweight,http://boxrec.com/boxer/52608,1980-09-17,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Flyweight"" border=""0"" class=""dLink"">WBC World light flyweight title</a><br></td>",http://boxrec.com/show/79514,http://boxrec.com/boxer/30654,TKO,"Civic Center, Gifu, Gifu",Hilario Zapata,Shigeo Nakajima,W
super flyweight,http://boxrec.com/boxer/2333,1980-09-15,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Flyweight"" border=""0"" class=""dLink"">WBC World super flyweight title</a><br><span style=""font-size:10px;"">First world title bout between two Venezuelans</span></td>",http://boxrec.com/show/150956,http://boxrec.com/boxer/10943,TKO,"Domo Bolivariano, Barquisimeto",Rafael Orono,Jovito Rengifo,W
featherweight,http://boxrec.com/boxer/12742,1980-09-13,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Featherweight"" border=""0"" class=""dLink"">WBC World featherweight title</a><br></td>",http://boxrec.com/show/15158,http://boxrec.com/boxer/2201,MD,"Freeman Coliseum, San Antonio, Texas",Salvador Sanchez,Pat Ford,W
super bantamweight,http://boxrec.com/boxer/65744,1980-08-22,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Bantamweight"" border=""0"" class=""dLink"">WBC World super bantamweight title</a><br><span style=""font-size:10px;"">Holmes down twice in the 3rd round, four times in the 4th round, twice in the 5th round.</span></td>",http://boxrec.com/show/12364,http://boxrec.com/boxer/2542,TKO,"Caesars Palace, Sports Pavilion, Las Vegas, Nevada",Wilfredo Gomez,Derrik Holmes,W
light flyweight,http://boxrec.com/boxer/52605,1980-08-04,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Flyweight"" border=""0"" class=""dLink"">WBC World light flyweight title</a><br></td>",http://boxrec.com/show/79513,http://boxrec.com/boxer/30654,UD,Caracas,Hilario Zapata,Hector Melendez,W
flyweight,http://boxrec.com/boxer/10058,1980-07-28,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Flyweight"" border=""0"" class=""dLink"">WBC World flyweight title</a><br></td>",http://boxrec.com/show/73778,http://boxrec.com/boxer/10047,SD,"Kokugikan, Tokyo",Shoji Oguma,Sung-Jun Kim,W
super flyweight,http://boxrec.com/boxer/213,1980-07-28,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Flyweight"" border=""0"" class=""dLink"">WBC World super flyweight title</a><br></td>",http://boxrec.com/show/56533,http://boxrec.com/boxer/10943,PTS,"Nuevo Circo, Caracas",Rafael Orono,Willie Jensen,D
light heavyweight,http://boxrec.com/boxer/13374,1980-07-13,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBC World light heavyweight title</a><br><span style=""font-size:10px;""><b>1980 Fight of the Year - Ring Magazine</b></span></td>",http://boxrec.com/show/16950,http://boxrec.com/boxer/8618,TKO,"Great Gorge Playboy Club, McAfee, New Jersey",Matthew Saad Muhammad,Yaqui Lopez,W
super welterweight,http://boxrec.com/boxer/20665,1980-07-12,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Middleweight"" border=""0"" class=""dLink"">WBC World super welterweight title</a><br><span style=""font-size:10px;"">Boxing News July 18, 1980 p 3</span></td>",http://boxrec.com/show/26306,http://boxrec.com/boxer/9735,TKO,"Conference Centre, Wembley, London",Maurice Hope,Rocky Mattioli,W
super lightweight,http://boxrec.com/boxer/8683,1980-07-07,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBC World super lightweight title</a><br></td>",http://boxrec.com/show/1946,http://boxrec.com/boxer/235,TKO,"Metropolitan Sports Center, Bloomington, Minnesota",Saoul Mamby,Esteban De Jesus,W
heavyweight,http://boxrec.com/boxer/8624,1980-07-07,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br></td>",http://boxrec.com/show/1946,http://boxrec.com/boxer/150,TKO,"Metropolitan Sports Center, Bloomington, Minnesota",Larry Holmes,Scott LeDoux,W
middleweight,http://boxrec.com/boxer/11417,1980-06-28,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Middleweight"" border=""0"" class=""dLink"">WBC World middleweight title</a><br><a href=""http://boxrec.com/title/WBA?division=Middleweight"" border=""0"" class=""dLink"">WBA World middleweight title</a><br><span style=""font-size:10px;"">Antuofermo retired with cuts around eyes</span></td>",http://boxrec.com/show/45114,http://boxrec.com/boxer/11467,RTD,"Empire Pool, Wembley, London",Alan Minter,Vito Antuofermo,W
featherweight,http://boxrec.com/boxer/9011,1980-06-21,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Featherweight"" border=""0"" class=""dLink"">WBC World featherweight title</a><br></td>",http://boxrec.com/show/15157,http://boxrec.com/boxer/2201,TKO,"Caesars Palace, Las Vegas, Nevada",Salvador Sanchez,Danny Lopez,W
welterweight,http://boxrec.com/boxer/80,1980-06-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Welterweight"" border=""0"" class=""dLink"">WBC World welterweight title</a><br></td>",http://boxrec.com/show/1942,http://boxrec.com/boxer/269,UD,"Olympic Stadium, Montreal, Quebec",Sugar Ray Leonard,Roberto Duran,L 
bantamweight,http://boxrec.com/boxer/2218,1980-06-11,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Bantamweight"" border=""0"" class=""dLink"">WBC World bantamweight title</a><br></td>",http://boxrec.com/show/1938,http://boxrec.com/boxer/166,PTS,"Nippon Budokan, Tokyo",Lupe Pintor,Eijiro Murata,D
